name,index year,overall score,property rights,freedom from corruption,fiscal freedom,government spending,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom
Tanzania,2013,57.9,30,30,79.9,77.9,48.6,61.9,71.8,73.5,55,50
Thailand ,2013,64.1,45,34,78.9,83.7,73.2,72.9,68.3,75.2,40,70
The Bahamas,2013,70.1,70,73,97,84.9,71.3,81.6,75.8,47,30,70
The Gambia,2013,58.8,30,35,75.1,82.7,59.5,59.3,71.1,60.5,65,50
The Netherlands,2013,73.5,90,89,52.1,24.7,83,58.6,81.1,86.8,90,80
The Philippines,2013,58.2,30,26,79.3,90.2,53.1,51,76.6,75.5,50,50
Timor-Leste,2013,43.7,20,24,64.7,0,44.8,81.2,69.3,73,40,20
Togo,2013,48.8,30,24,68.5,81.6,39.9,44.2,78.5,56.7,35,30
Tonga,2013,56,20,31,87.1,64.7,76.6,84.4,71.1,75.6,30,20
Trinidad and Tobago,2013,62.3,50,32,84.9,60.4,55.1,76.7,73.7,69.9,60,60
Tunisia,2013,57,40,38,74.5,63.7,82.8,70.1,77.8,58.1,35,30
Turkey,2013,62.9,50,42,77,64.9,68.2,43.1,73.3,85.2,65,60
Turkmenistan,2013,42.6,5,16,94,91.7,30,30,70.6,79.2,0,10
Uganda,2013,61.1,30,24,80.6,84.3,48.4,87.9,77.2,73.6,55,50
Ukraine,2013,46.3,30,23,78.2,29.4,47.6,49.9,71,84.4,20,30
United Arab Emirates,2013,71.1,55,68,99.9,85.1,74,77.6,83.9,82.6,35,50
United Kingdom,2013,74.8,90,78,57,27.7,94.1,71.6,72.4,86.8,90,80
United States,2013,76,85,71,69.3,47.8,90.5,95.5,75,86.4,70,70
Uruguay ,2013,69.7,70,70,84.2,68.3,73.4,70.7,72.5,82.9,75,30
Uzbekistan,2013,46,15,16,90.2,67.8,71.2,61,63,66.1,0,10
Vanuatu,2013,56.6,40,35,97.3,80.5,56.4,57.7,81.4,48,30,40
Venezuela ,2013,36.1,5,19,75.6,50.6,45.6,34.5,47.3,58.8,5,20
Vietnam,2013,51,15,29,75.6,72.4,63.8,65.5,65.3,78.6,15,30
Yemen,2013,55.9,30,21,91.5,72.8,61.3,55.3,65.7,81.5,50,30
Zambia,2013,58.7,30,32,72.9,80.3,60.4,58.4,66,82.3,55,50
Zimbabwe,2013,28.6,10,22,71.8,66.4,33.4,21.9,0,50.4,0,10
Afghanistan,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2012,65.1,35,33,91.4,69.5,78.2,51,78.6,79.8,65,70
Algeria,2012,51,30,29,82.9,47.9,66.3,54.4,76.3,72.8,20,30
Angola,2012,46.7,20,19,84.1,53.2,45.5,43.9,61.2,65.2,35,40
Argentina,2012,48,20,29,65.5,56.9,61,48.9,60.7,67.6,40,30
Armenia,2012,68.8,30,26,89.3,74.9,87.8,76.6,73.1,85.4,75,70
Australia,2012,83.1,90,87,63.4,67.1,91.9,90.6,84.5,86.2,80,90
Austria,2012,70.3,90,79,50.5,15.4,70.3,78.1,82.2,87.2,80,70
Azerbaijan,2012,58.9,20,24,84.9,63.7,68.6,81.6,74.5,77.2,55,40
Bahrain,2012,75.2,55,49,99.9,72.2,76.5,91.1,70.4,82.8,75,80
Bangladesh ,2012,53.2,20,24,72.8,93.9,68.5,55.9,67.5,54,55,20
Barbados,2012,69,80,78,71.1,40.1,90,80,75.8,60.5,55,60
Belarus,2012,49,20,25,86.6,34.9,71.3,77,65.3,80.4,20,10
Belgium,2012,69,80,71,44.8,12.1,92.3,71.3,81.2,87.1,80,70
Belize,2012,61.9,30,20,82.8,74.6,73.6,82.2,77.6,78.1,50,50
Benin,2012,55.7,30,28,76.2,79.9,42.9,51.5,79.7,59.3,60,50
Bhutan,2012,56.6,60,57,83.8,55.3,59.7,78.6,72.6,49.5,20,30
Bolivia,2012,50.2,10,28,87,62.2,56.5,40.8,72.8,74.3,20,50
Bosnia and Herzegovina,2012,57.3,20,32,84.3,24.4,55.2,60.4,80.7,86,70,60
Botswana,2012,69.6,70,58,78.3,53.7,69.1,70.2,72.4,79.7,75,70
Brazil,2012,57.9,50,37,69.1,54.8,53.7,59.1,75.8,69.7,50,60
Bulgaria,2012,64.7,30,36,93.6,50.3,72.7,84.2,77.8,87.1,55,60
Burkina Faso,2012,60.6,30,31,80.4,84,62.8,58.9,81.4,72.5,55,50
Burma,2012,38.7,10,14,82,96,20,20,61.2,73.6,0,10
Burundi,2012,48.1,20,18,72.2,22.9,46.1,67.2,70.9,78.9,55,30
Cambodia,2012,57.6,30,21,91.1,90,40.7,47.2,80.7,65.2,60,50
Cameroon,2012,51.8,30,22,69.3,90.8,47.1,48.1,70.9,54.9,35,50
Canada,2012,79.9,90,89,79.2,41.7,96.6,81.8,77.3,87.9,75,80
Cape Verde,2012,63.5,65,51,77.3,61.8,59,48.5,80.5,66.9,65,60
Central African Republic,2012,50.3,20,21,65.2,92.9,37.3,49.1,74.6,57.8,55,30
Chad,2012,44.8,20,17,50.2,74.2,24.9,43.7,72.5,55.6,50,40
Chile,2012,78.3,90,72,77.4,82.1,68.6,75.1,85.6,82,80,70
China,2012,51.2,20,35,70.4,84.1,46.4,55.4,74.2,71.6,25,30
Colombia,2012,68,50,35,76,74.1,89.4,79.7,78.7,72.2,65,60
Comoros,2012,45.7,30,21,64.9,85.3,41.5,31.2,78.3,69.4,15,20
Costa Rica ,2012,68,55,53,82.8,90.8,57.6,62.7,73.4,85.1,70,50
C̫te d'Ivoire ,2012,54.3,20,22,78.1,86.6,42.7,56.1,81.7,70.3,35,50
Croatia,2012,60.9,40,41,76.4,45,63.4,44.4,81.4,87.5,70,60
Cuba,2012,28.3,10,37,61.5,0,10,20,71.3,62.7,0,10
Cyprus,2012,71.8,70,63,83.3,37.1,81.6,69.9,85.7,82.1,75,70
Czech Republic,2012,69.9,70,46,82,36.8,67.7,77.9,81.5,87.1,70,80
Democratic Republic of Congo,2012,41.1,10,20,72.5,76.1,38.7,39,51.2,63,20,20
Denmark,2012,76.2,90,93,39.8,0,99.1,92.1,80.7,87.1,90,90
Djibouti,2012,53.9,30,32,80.3,42.4,30.5,61.6,77.2,59.6,65,60
Dominica,2012,61.6,60,52,68.8,43.8,80.5,61.9,85,74.3,60,30
Dominican Republic,2012,60.2,30,30,85.8,91.4,55.5,58.7,75.1,80.1,55,40
Ecuador,2012,48.3,20,25,78.3,64.3,54.1,41,66.8,68.1,25,40
Egypt,2012,57.9,35,31,89.7,64.1,63.8,53.7,62.3,74,65,40
El Salvador ,2012,68.7,40,36,85.5,91.1,63.2,65.3,82.1,79,75,70
Equatorial Guinea,2012,42.8,20,19,75.5,28,44.7,43.8,73.1,58.8,25,40
Eritrea,2012,36.2,10,26,57,46.8,17.1,63.2,52.9,69.1,0,20
Estonia,2012,73.2,80,65,79.1,38.8,75.7,56.9,79.3,87.1,90,80
Ethiopia,2012,52,30,27,74.8,91.1,64.4,55.5,67.1,65.6,25,20
Fiji,2012,57.3,25,20,78.1,78.9,59.3,75.8,75.7,69.7,30,60
Finland,2012,72.3,90,92,65.4,5.2,94.9,42.4,81.3,87.1,85,80
France,2012,63.2,80,68,53.8,5.3,83.7,51.6,82.3,82.1,55,70
Gabon,2012,56.4,40,28,73.5,81.5,57.7,59.8,77.7,61.1,45,40
Georgia,2012,69.4,40,38,87.8,55.8,86.9,92.1,74.4,89.2,70,60
Germany,2012,71,90,79,61.3,32.2,90.5,41.4,83.5,87.1,85,60
Ghana,2012,60.7,50,41,81.9,48.3,62.9,62.9,66.9,67.8,65,60
Greece,2012,55.4,50,35,65.3,16.2,76.3,36.6,72.6,82.1,60,60
Guatemala ,2012,60.9,30,32,79.6,93.9,48.5,53.5,77.3,84.6,60,50
Guinea,2012,50.8,20,20,69.3,82.6,38.5,64.7,67.1,61.2,45,40
Guinea-Bissau,2012,50.1,20,21,88.7,63.3,40.5,61,75.9,65.3,35,30
Guyana,2012,51.3,30,27,64,52,65.5,65.3,77.4,71.5,30,30
Haiti,2012,50.7,10,22,80.6,85.3,33.3,65.4,76,74.8,30,30
Honduras ,2012,58.8,30,24,83.7,83.4,60.6,30,74.1,77.1,65,60
Hong Kong,2012,89.9,90,84,93.1,91,98.9,86.5,85.8,90,90,90
Hungary ,2012,67.1,70,47,78.6,24.4,79.8,67.6,76.1,87.1,70,70
Iceland,2012,70.9,90,85,73.5,21.8,92,60.9,72.5,88.2,65,60
India,2012,54.6,50,33,76.1,74.8,35.5,74.2,62.9,64.1,35,40
Indonesia,2012,56.4,30,28,83.5,91.6,54.6,52.1,75.2,73.9,35,40
Iran,2012,42.3,10,22,80.6,76.9,64.8,51.5,62,45.7,0,10
Iraq,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2012,76.9,90,80,73.9,30.4,92.8,78.4,76.7,87.1,90,70
Israel,2012,67.8,70,61,64.1,41,64.4,65.1,79,83.6,80,70
Italy,2012,58.8,50,39,55,19.4,77.4,43,82,87.1,75,60
Jamaica ,2012,65.1,40,33,75.5,58.7,84.7,69.6,72.4,72.1,85,60
Japan,2012,71.6,80,78,67.1,47,81.8,81.4,88.9,81.8,60,50
Jordan,2012,69.9,55,47,93.5,67,69.5,75.7,81.2,79.6,70,60
Kazakhstan,2012,63.6,40,29,90.4,83.4,72.9,88.7,71.8,79.6,30,50
Kenya,2012,57.5,30,21,77.7,75.3,61.7,63.3,79.1,66.7,50,50
Kiribati,2012,46.9,30,32,72.4,0,61.2,85.5,77.3,55.4,25,30
Kosovo,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,2012,62.5,50,45,99.9,47.2,61.8,63.5,71.3,81.6,55,50
Kyrgyz Republic ,2012,60.2,20,20,93.1,66.5,74.1,88.9,71,63.2,55,50
Laos,2012,50,15,21,79.8,86.6,61.6,55.7,76.9,58.7,25,20
Latvia,2012,65.2,50,43,84.3,43.8,75.9,59.1,79.1,87.1,80,50
Lebanon,2012,60.1,25,25,90.8,68.2,53.9,60.6,76.9,80.4,60,60
Lesotho,2012,46.6,40,35,49.1,0,57.5,65,75.5,69.1,35,40
Liberia,2012,48.6,30,33,76.6,74.8,55.9,50.6,71.8,53.8,20,20
Libya,2012,35.9,10,22,80.2,17.9,20,20,73.6,85,10,20
Liechtenstein,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2012,71.5,60,50,93.6,41.7,79.2,64.6,79.3,87.1,80,80
Luxembourg,2012,74.5,90,85,63.6,46.6,75.9,40.9,81.3,87.1,95,80
Macau,2012,71.8,60,50,75.8,88.1,60,55,84.2,90,85,70
Macedonia,2012,68.5,35,41,91.2,66.7,80.9,80.3,86.1,83.6,60,60
Madagascar,2012,62.4,40,26,88.3,93.6,71.1,50.8,76,73.5,55,50
Malawi,2012,56.4,45,34,79.3,62.2,42,58.2,72.6,70.9,50,50
Malaysia ,2012,66.4,50,44,84.5,72.5,78.1,79.3,81.6,78.8,45,50
Maldives,2012,49.2,25,23,98,0,89.7,71.9,75.3,43.7,35,30
Mali,2012,55.8,30,27,60.1,79.9,50.8,66.5,80.7,73.2,50,40
Malta,2012,67,70,56,67.8,43.8,70,60,80.5,87.1,75,60
Mauritania,2012,53,25,23,80.5,71.9,51.3,53.2,75.5,69.9,40,40
Mauritius,2012,77,65,54,91.9,83.4,78.7,70.4,78.3,87.9,90,70
Mexico,2012,65.3,50,31,80.7,78.3,82,61.3,76.5,72.9,60,60
Micronesia,2012,50.7,30,30,97.6,3.9,57,83.7,73.4,81,20,30
Moldova,2012,54.4,40,29,86.5,38.7,70,41.7,74.4,79,35,50
Mongolia,2012,61.5,30,27,88.5,62.8,67.7,74.5,74.3,79.8,50,60
Montenegro,2012,62.5,40,37,91.3,31.7,69.2,86.1,81.2,83.6,55,50
Morocco,2012,60.2,40,34,69.7,74.8,77.2,27.6,77.9,75.7,65,60
Mozambique ,2012,57.1,30,27,77.1,69.3,66.8,39.7,74.8,81.1,55,50
Namibia,2012,61.9,30,44,65.7,73,70.8,85,74.4,86.5,50,40
Nepal,2012,50.2,30,22,86,88.1,53.6,45.4,74.9,61.5,10,30
New Zealand,2012,82.1,95,93,71.6,45,99.9,89.9,85.2,86.8,75,80
Nicaragua ,2012,57.9,15,25,77.1,83,51.2,63.4,74,84.9,55,50
Niger,2012,54.3,30,26,76.9,80.5,35.9,40.8,86.4,71.7,55,40
Nigeria,2012,56.3,30,24,84.3,72.3,55.6,80.6,72,63.9,40,40
North Korea,2012,1,5,5,0,0,0,0,0,0,0,0
Norway,2012,68.8,90,86,52.5,35.3,88.4,46.3,75.1,89.3,65,60
Oman,2012,67.9,50,53,98.4,53.6,68.2,85.1,72.1,83.7,55,60
Pakistan ,2012,54.7,30,23,80.6,88.1,70,47.8,66.3,66,35,40
Panama ,2012,65.2,40,36,84.6,88.2,74.4,41.5,77.8,74.8,65,70
Papua New Guinea,2012,53.8,20,21,68.3,72.6,59,74,73.2,84.8,35,30
Paraguay ,2012,61.8,30,22,96.9,88.5,59.8,27.2,81.4,82.7,70,60
Peru,2012,68.7,40,35,79.7,90.9,72,68.5,85.5,85,70,60
Poland,2012,64.2,60,53,74.4,40.3,61.4,61.3,79.1,87.1,65,60
Portugal,2012,63,70,60,59,25.5,83,32.5,82.6,87.1,70,60
Qatar,2012,71.3,70,77,99.7,73.6,69.7,67.9,77.1,82.5,45,50
Republic of Congo ,2012,43.8,10,21,61.3,78,40.6,45.7,71,60.7,20,30
Romania,2012,64.4,40,37,87.4,55.1,70.5,62.6,74.3,87.1,80,50
Russia,2012,50.5,25,21,82.5,48.6,65.1,63.5,66.3,68.2,25,40
Rwanda,2012,64.9,35,40,77.2,78.5,73.6,91.4,75.2,78,60,40
Saint Lucia,2012,71.3,70,70,74.1,67.7,84.7,83.5,85.8,71.9,65,40
